mgi_symbol	ensembl_gene_id
0610040J01Rik	ENSMUSG00000060512
1110008P14Rik	ENSMUSG00000039195
1110012L19Rik	ENSMUSG00000045237
1110032F04Rik	ENSMUSG00000046999
1110051M20Rik	ENSMUSG00000040591
1110065P20Rik	ENSMUSG00000078570
1500011B03Rik	ENSMUSG00000072694
1700019D03Rik	ENSMUSG00000043629
1700025G04Rik	ENSMUSG00000032666
1700037H04Rik	ENSMUSG00000027327
1700066M21Rik	ENSMUSG00000038323
1700096K18Rik	ENSMUSG00000101856
1700112D23Rik	ENSMUSG00000091329
1810030O07Rik	ENSMUSG00000044148
1810037I17Rik	ENSMUSG00000054091
1810062G17Rik	ENSMUSG00000027713
2010300C02Rik	ENSMUSG00000026090
2210016L21Rik	ENSMUSG00000029559
2210406O10Rik	ENSMUSG00000039563
2310009B15Rik	ENSMUSG00000079283
2310074N15Rik	ENSMUSG00000105858
2410004B18Rik	ENSMUSG00000036873
2410131K14Rik	ENSMUSG00000032840
2510039O18Rik	ENSMUSG00000044496
2610002M06Rik	ENSMUSG00000031242
2610301B20Rik	ENSMUSG00000059482
2700038G22Rik	ENSMUSG00000097180
2700069I18Rik	ENSMUSG00000086224
2810006K23Rik	ENSMUSG00000047635
2810414N06Rik	ENSMUSG00000100594
2900009J06Rik	ENSMUSG00000102014
2900026A02Rik	ENSMUSG00000051339
2900060B14Rik	ENSMUSG00000107722
2900093K20Rik	ENSMUSG00000099632
2900097C17Rik	ENSMUSG00000102869
3110009E18Rik	ENSMUSG00000026388
3110021N24Rik	ENSMUSG00000094958
3110045C21Rik	ENSMUSG00000097503
3300002I08Rik	ENSMUSG00000063364
4632404H12Rik	ENSMUSG00000042579
4632415L05Rik	ENSMUSG00000048106
4732440D04Rik	ENSMUSG00000090031
4921504A21Rik	ENSMUSG00000097626
4930402H24Rik	ENSMUSG00000027309
4930444P10Rik	ENSMUSG00000067795
4930455G09Rik	ENSMUSG00000085761
4930455G09Rik	ENSMUSG00000116484
4930522L14Rik	ENSMUSG00000072762
4930532G15Rik	ENSMUSG00000097261
4930548H24Rik	ENSMUSG00000029138
4930579G24Rik	ENSMUSG00000027811
4932438A13Rik	ENSMUSG00000037270
4933431E20Rik	ENSMUSG00000086968
4933434E20Rik	ENSMUSG00000118504
4933434E20Rik	ENSMUSG00000027942
5031425E22Rik	ENSMUSG00000073147
